회사명,모집내용,학력,연봉,주소,근무형태,경력,지원시작일,지원마감일
주식회사동우텍,(주)동우텍 콜드체인 시스템 운영 개발자 모집(W...,대졸(4년),5000만원 ~ 5000만원,대전광역시 유성구 테크노5로 43-4,주5일근무,경력,22-07-06,22-08-25
아이피캠프,"DBA, 미들웨어(WEB,WAS) 유지보수 및 운...",대졸(2~3년),3600만원,경상남도 진주시 동부로169번길 12,주5일근무,경력,22-07-06,채용시까지  22-09-05
(주)크레도데이타,소프트웨어엔지니어 모집 (신입 가능) - 일도약장...,대졸(2~3년),2600만원 ~ 4500만원,경기도 고양시 덕양구 으뜸로 124,주5일근무,관계없음,22-07-06,22-07-31
주식회사 에이오디컨설팅,데이터 컨설팅 신입 및 경력 직원을 채용합니다.,대졸(4년),3000만원 ~ 5000만원,서울특별시 강서구 마곡중앙로 161-8,주5일근무,관계없음,22-07-06,22-08-31
(주)델타시스템,소프트웨어 개발 및 운영자 경력사원 모집,대졸(2~3년),2800만원 ~ 4000만원,대전광역시 유성구 문화원로 118,주5일근무,경력,22-07-06,22-08-31
아이오티포헬스,웹 및 서버 개발자 모집,대졸(2~3년),3000만원,서울특별시 성북구 안암로 145,주5일근무,경력,22-07-06,채용시까지  22-08-31
(주)웨슬리퀘스트,2022 (주)웨슬리퀘스트 데이터 분석 경력직 및...,대졸(4년),200만원 ~ 300만원,서울특별시 서대문구 충정로 53,주5일근무,관계없음,22-07-05,22-07-22
휴마니타스(주),휴마니타스(주) [서울지사] 개발자 모집 / PH...,대졸(4년),3000만원 ~ 6000만원,서울특별시 강서구 공항대로 190,주5일근무,경력,22-07-05,채용시까지  22-09-01
(주)초원지역전략연구소,농어촌 지역개발 컨설팅/ 관광 전략기획 연구원 채...,대졸(4년),200만원,경기도 안양시 동안구 벌말로 126,주5일근무,관계없음,22-07-05,22-07-20
주식회사 아이디얼블룸,백엔드 경력자 모집,학력무관,2700만원,서울특별시 성동구 성수일로8길 59,주5일근무,경력,22-07-05,채용시까지  22-09-04
(주)에프텍,제품 개발 및 설계 (AUTO CAD 사용),학력무관,300만원,경기도 군포시 산본로85번길 11,주5일근무,경력,22-07-05,22-07-20
